Date,C1_1,C1_2,C1_3,C1_4,C1_5,C1_6,C1_7,C1_8,C1_9,C1_10,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C3_1,C3_2,C3_3,C3_4,C3_5,C3_6,C3_7,C3_8,C3_9,C3_10,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C4_7,C4_8,C4_9,C4_10,C5_1,C5_2,C5_3,C5_4,C5_5,C5_6,C5_7,C5_8,C5_9,C5_10,C6_1,C6_2,C6_3,C6_4,C6_5,C6_6,C6_7,C6_8,C6_9,C6_10,C7_1,C7_2,C7_3,C7_4,C7_5,C7_6,C7_7,C7_8,C7_9,C7_10,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,C8_7,C8_8,C8_9,C8_10,C9_1,C9_2,C9_3,C9_4,C9_5,C9_6,C9_7,C9_8,C9_9,C9_10,C10_1,C10_2,C10_3,C10_4,C10_5,C10_6,C10_7,C10_8,C10_9,C10_10,C11_1,C11_2,C11_3,C11_4,C11_5,C11_6,C11_7,C11_8,C11_9,C11_10,C12_1,C12_2,C12_3,C12_4,C12_5,C12_6,C12_7,C12_8,C12_9,C12_10,C13_1,C13_2,C13_3,C13_4,C13_5,C13_6,C13_7,C13_8,C13_9,C13_10,C14_1,C14_2,C14_3,C14_4,C14_5,C14_6,C14_7,C14_8,C14_9,C14_10,C15_1,C15_2,C15_3,C15_4,C15_5,C15_6,C15_7,C15_8,C15_9,C15_10,C16_1,C16_2,C16_3,C16_4,C16_5,C16_6,C16_7,C16_8,C16_9,C16_10,C17_1,C17_2,C17_3,C17_4,C17_5,C17_6,C17_7,C17_8,C17_9,C17_10,C18_1,C18_2,C18_3,C18_4,C18_5,C18_6,C18_7,C18_8,C18_9,C18_10,C19_1,C19_2,C19_3,C19_4,C19_5,C19_6,C19_7,C19_8,C19_9,C19_10,C20_1,C20_2,C20_3,C20_4,C20_5,C20_6,C20_7,C20_8,C20_9,C20_10
20210318,0,1,2,0,0,0,3,0,1,1,2,2,1,0,1,1,0,1,1,0,0,0,0,0,0,2,0,2,1,2,1,3,0,0,0,1,0,2,0,1,0,1,1,0,0,1,0,1,1,4,1,1,1,1,0,0,2,1,0,1,0,0,1,1,0,2,0,0,2,1,0,2,1,0,0,1,2,3,2,2,1,2,1,0,0,1,1,0,1,0,1,2,1,0,0,0,1,1,1,2,1,0,1,0,0,1,1,3,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,2,1,2,1,2,0,2,2,1,0,1,1,2,0,1,1,1,0,1,0,1,0,1,2,1,0,1,3,1,0,1,2,2,1,0,1,0,3,0,0,1,1,0,1,0,1,0,3,0,0,0,1,1,1,0,0,0,0,0,0,1,2,2,2,2,2,1,1,0,0,1,1,1,0,0
20210321,1,2,3,1,1,1,1,0,1,2,1,2,2,3,0,2,2,3,0,2,2,1,2,1,0,1,0,0,0,0,1,2,2,1,1,2,1,0,0,1,1,1,1,0,0,1,2,1,1,1,1,0,2,1,1,1,0,0,0,0,1,0,1,0,0,1,2,0,1,2,1,0,1,1,0,2,2,3,3,2,0,1,2,3,0,1,2,2,2,0,1,0,2,2,0,0,2,0,0,3,3,1,3,1,0,0,0,1,0,1,1,0,1,2,0,1,0,2,1,1,1,2,1,2,0,1,0,0,1,1,1,1,2,0,2,0,2,0,0,2,1,0,1,1,0,2,2,2,2,1,1,0,1,2,1,1,0,0,3,0,1,1,2,2,0,1,2,1,2,1,2,0,0,0,0,1,0,1,1,3,0,1,1,2,0,0,1,0,1,3,1,2,0,2,0,1,1,1,1,1
20210323,2,2,0,0,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,0,0,1,2,0,1,1,1,1,2,1,2,2,2,0,1,2,2,0,1,1,0,1,2,0,2,1,2,2,3,1,1,2,1,2,3,1,0,0,0,1,0,2,2,1,1,1,0,1,3,2,1,2,1,2,3,3,1,1,1,0,0,1,1,2,1,1,1,1,1,1,1,2,1,2,0,3,0,1,0,0,1,2,1,2,2,3,1,0,2,2,1,1,0,3,1,0,3,2,1,2,0,1,2,1,1,0,2,1,2,1,0,2,2,1,3,0,2,2,2,1,1,1,2,2,1,2,2,1,1,0,1,2,1,2,2,0,2,0,1,1,0,2,1,1,0,2,0,1,0,2,0,1,3,0,0,0,2,1,1,2,0,2,0,0,0,0,2,0,2,0,0,2,3,1,0,1,0
20210325,1,1,3,0,0,1,3,0,0,2,0,1,0,0,1,2,1,1,2,0,2,1,1,0,0,1,1,3,1,1,0,1,0,0,0,1,1,1,1,1,2,1,3,1,0,1,1,1,2,2,1,1,3,0,0,1,0,1,1,0,2,0,1,1,1,0,0,0,2,0,0,1,1,0,0,1,1,0,1,3,0,1,0,1,1,2,0,1,0,3,1,3,3,1,0,2,1,1,2,0,1,0,1,1,0,0,3,2,3,0,1,1,1,0,0,1,0,0,2,1,2,1,1,0,0,1,1,2,1,2,2,1,2,0,0,0,2,1,2,0,1,1,1,1,0,1,0,1,2,0,3,1,2,1,0,2,0,1,1,0,1,1,1,1,1,2,1,0,0,0,1,2,2,0,1,2,3,1,3,1,1,0,3,1,0,3,0,0,2,1,1,0,1,1,0,2,0,0,0,0
20210328,1,1,0,1,0,1,3,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,2,1,0,1,1,1,0,0,0,1,1,1,1,2,1,2,0,1,1,1,0,1,0,0,0,1,0,1,1,2,1,1,2,0,0,1,0,2,0,1,1,0,1,1,1,1,1,0,0,0,2,0,1,2,1,1,0,0,0,3,0,1,2,3,4,1,0,3,2,1,1,0,2,1,1,1,0,3,2,1,0,2,0,0,0,2,0,0,0,2,0,0,0,1,1,1,0,1,0,1,2,1,0,0,2,1,0,0,1,1,1,1,0,0,0,2,0,1,1,1,0,1,1,1,1,1,1,2,2,1,0,2,0,0,3,0,0,1,0,0,0,1,0,0,2,2,0,1,2,0,0,2,0,2,1,1,0,1,1,0,0,0,0,1,2,1,0,0,1,0,1,2
20210330,3,2,0,1,1,1,0,0,2,1,0,0,2,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,2,1,1,1,1,2,0,0,1,1,1,0,1,0,0,1,0,2,0,1,0,2,1,1,1,0,1,0,1,2,1,2,1,0,0,1,0,0,1,2,2,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,2,1,1,2,1,1,1,2,1,1,1,1,0,1,1,2,1,1,0,1,2,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,2,1,0,1,0,2,0,1,1,0,1,0,2,0,1,1,2,2,1,0,0,2,1,2,2,1,2,1,1,0,0,1,1,1,2,2,1,2,1,0,0,1,1,0,2
20210401,1,0,0,2,1,1,1,1,2,2,1,2,3,0,2,1,1,0,2,2,0,0,1,0,1,2,2,1,0,1,0,0,0,0,1,1,2,0,1,2,1,2,1,1,1,3,3,0,0,0,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,0,0,1,3,2,1,2,2,1,0,1,0,1,2,1,0,2,0,1,1,0,1,1,1,1,2,3,2,1,2,0,1,1,0,2,1,1,0,0,2,1,0,1,2,0,2,2,2,0,1,1,0,1,4,2,1,1,1,1,2,2,1,1,1,2,2,1,3,1,3,0,2,1,4,1,1,1,3,1,1,0,0,1,0,1,1,2,1,2,1,0,1,1,3,0,3,2,1,2,2,2,1,1,2,1,1,2,0,3,1,1,1,1,1,2,0,1,3,1,1,1,2,1,1,1,2,0,3
20210404,0,1,0,2,2,2,0,1,1,0,0,0,1,1,2,1,0,0,0,1,0,0,2,2,2,1,0,0,1,0,0,1,3,2,2,0,2,2,0,3,0,1,0,0,2,3,0,0,0,2,0,2,1,0,2,1,1,3,1,0,1,0,3,1,2,2,2,1,0,0,0,0,0,2,2,0,2,0,2,1,1,1,1,1,2,1,2,1,0,2,0,0,2,1,2,2,1,2,1,2,0,0,0,0,1,3,1,1,1,0,1,0,1,1,3,2,4,1,2,1,2,1,1,2,2,1,2,3,2,1,1,0,1,1,2,3,1,2,0,2,1,0,2,2,1,0,0,2,1,2,1,0,0,0,2,1,2,0,1,1,1,0,1,3,2,3,0,0,1,1,0,2,1,2,3,0,1,1,1,2,1,1,1,1,2,1,2,3,2,1,0,1,1,2,3,2,1,2,0,1
20210406,1,0,0,0,0,2,1,2,1,2,2,0,0,0,0,2,0,1,1,1,0,0,3,0,0,0,0,2,0,2,0,1,1,0,0,2,0,1,1,2,2,1,0,1,0,0,0,0,1,2,3,1,0,0,0,1,3,2,1,1,2,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,2,3,1,1,1,1,1,1,0,1,0,2,1,2,0,1,4,1,0,1,1,1,0,1,2,1,2,0,0,1,0,0,3,1,1,2,0,1,0,1,3,0,1,3,0,1,0,0,0,0,3,2,1,1,1,0,0,0,0,1,1,1,0,2,2,0,1,0,0,2,3,2,1,1,3,0,1,1,0,2,2,2,2,2,0,2,1,0,0,1,1,1,2,3,0,2,0,0,0,4,0,1,3,2,0,0,0,0,0,1,1,1,0,2,2,2,0,0,0,0,1,1,0,1
20210408,2,0,1,2,2,2,2,0,0,2,0,2,2,2,2,2,1,1,0,2,3,2,2,2,2,1,2,1,0,2,2,1,1,0,2,1,1,0,0,1,2,2,0,0,3,2,3,0,1,1,0,3,2,3,2,0,1,3,0,3,1,2,1,2,2,1,2,0,0,1,1,1,1,0,1,2,0,1,1,2,0,1,2,0,1,2,3,0,1,1,3,1,0,2,1,1,2,1,2,1,2,1,1,2,1,2,0,1,1,2,2,3,0,3,2,1,2,0,2,2,2,1,1,0,2,1,1,0,2,1,2,0,2,2,2,2,2,0,0,2,1,1,1,1,2,1,0,1,2,1,0,1,1,2,2,1,2,1,1,2,2,3,2,2,2,2,1,0,2,2,0,1,2,2,2,0,0,1,0,0,1,1,0,2,2,0,2,1,0,0,1,2,2,2,2,2,2,0,2,1
20210411,0,2,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,2,2,1,0,1,1,0,1,2,0,0,2,2,0,0,1,2,0,1,2,0,0,2,1,0,1,1,1,0,1,1,0,2,0,1,1,0,0,1,2,1,2,2,0,2,1,2,0,2,0,0,1,2,2,1,1,2,2,2,0,1,1,2,1,0,1,2,2,2,1,1,1,2,0,1,1,1,0,3,1,0,1,1,1,0,1,0,2,1,0,0,3,2,0,1,1,1,0,0,0,0,1,1,1,2,1,0,2,1,0,0,0,0,1,1,1,0,2,2,2,1,1,1,2,1,1,1,0,0,0,2,0,1,0,1,2,0,1,1,1,1,2,0,0,1,1,0,2,1,1,0,0,3,1,1,1,2,1,3,0,1,1,1,2,2,1,3,0,2,1,0,1,1,1,0,1,1,0,1,2,1
20210413,2,2,0,2,2,2,3,1,1,3,1,1,1,2,2,1,2,1,2,3,3,1,0,3,1,2,1,1,0,1,1,1,0,2,2,2,1,3,2,4,0,2,0,2,2,1,1,1,1,0,1,2,0,2,1,0,2,1,2,2,0,0,0,2,1,2,2,3,0,1,0,3,1,2,2,0,2,1,0,2,1,1,1,2,1,0,1,1,1,1,1,1,2,2,2,1,0,3,0,0,1,2,1,2,1,0,1,0,0,0,2,1,1,2,2,4,1,2,2,1,0,2,1,3,0,1,1,2,2,2,0,2,0,3,2,1,3,0,3,1,1,0,0,1,1,2,1,1,3,1,0,1,2,2,2,1,1,2,1,3,1,4,0,2,2,2,2,0,2,2,0,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,0,1,2,2,0,2,2,1,1,1,0,1
20210415,3,2,2,2,2,2,0,2,1,2,2,0,1,2,2,2,0,1,2,0,0,2,1,2,2,0,0,2,0,0,0,2,1,2,2,2,2,3,0,1,1,2,2,2,2,2,2,1,2,1,0,0,1,1,2,1,2,1,0,0,0,0,2,2,2,0,4,2,0,1,1,1,2,2,2,1,1,1,2,0,0,1,0,1,2,1,3,1,1,0,0,0,0,2,2,1,1,1,0,2,1,1,1,2,2,2,2,1,1,1,1,0,1,2,2,2,1,0,2,1,0,1,1,2,2,0,2,2,1,0,2,1,1,1,2,1,0,1,2,0,0,1,2,2,2,1,1,0,0,0,2,1,3,2,2,1,1,0,1,2,0,2,2,2,2,0,0,1,0,0,1,1,1,2,2,2,3,0,1,1,0,0,1,1,2,3,2,0,1,0,0,2,0,2,2,1,2,1,0,0
20210418,2,1,1,3,2,2,2,3,1,1,1,1,0,0,1,2,3,0,2,0,0,0,1,0,1,0,2,0,0,1,1,1,2,1,1,1,2,0,1,0,1,1,1,3,1,3,3,1,1,0,0,0,2,2,3,1,2,2,2,2,0,0,0,0,1,1,0,0,0,0,1,1,1,2,3,2,2,0,1,1,1,3,1,1,1,1,1,1,2,0,0,2,0,1,1,0,1,2,0,1,1,1,0,0,1,1,1,1,2,0,1,2,1,2,2,2,1,3,1,0,2,0,2,1,1,1,1,3,1,1,2,0,0,0,1,0,1,1,1,0,3,0,1,2,1,0,2,1,2,0,0,1,2,0,1,2,2,3,1,1,1,0,2,2,1,0,1,0,1,0,1,0,1,0,3,0,2,1,2,0,0,0,2,1,2,2,1,0,1,0,2,0,1,3,1,1,0,1,2,1
20210420,2,1,1,1,1,1,0,0,1,1,2,3,0,1,1,0,2,1,1,1,2,0,0,0,1,1,1,0,2,0,2,1,2,0,1,1,1,1,1,2,1,1,1,0,0,2,0,0,0,3,2,3,2,0,1,1,1,1,2,2,2,2,1,0,1,1,2,1,0,1,2,1,0,0,1,3,2,1,1,3,2,1,0,0,1,1,1,0,1,2,1,1,0,0,1,1,0,3,3,1,2,2,0,1,1,2,1,2,1,1,0,2,1,0,0,2,1,1,0,0,1,2,0,0,1,1,3,0,1,2,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,0,0,3,2,0,0,1,1,3,1,2,1,2,1,0,0,0,3,2,2,2,1,1,2,1,0,1,2,1,1,2,1,0,1,0,0,1,1,2,1,4,3,4,2,0,0,1,1,1,0,1,1
20210422,0,3,1,3,2,0,2,2,0,1,0,1,3,3,1,1,2,1,0,0,2,2,2,2,2,1,0,2,1,1,1,1,2,3,3,1,2,1,3,1,1,2,3,2,1,2,1,1,0,1,3,0,3,2,2,2,0,2,1,0,2,2,3,2,2,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,2,1,1,1,2,1,0,2,1,1,2,1,1,2,2,2,2,3,3,0,1,1,3,3,1,0,1,1,0,0,2,2,3,3,2,1,2,1,0,1,2,1,3,2,1,0,0,1,0,1,2,2,1,3,1,0,0,1,1,0,2,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,2,3,1,1,1,3,1,2,0,2,1,1,1,2,1,3,1,2,2,1,1,1,0,0,2,2,2,1,1,2,1,1,1,0,3,2,0,2,1,1,1,1,1
20210425,1,1,1,0,1,1,0,0,2,1,1,1,1,0,1,1,0,0,1,1,1,3,1,1,2,1,0,0,1,1,1,2,2,1,1,0,1,0,2,1,1,2,2,2,1,1,1,2,1,3,2,2,2,1,2,2,1,1,2,1,1,2,2,0,1,1,0,2,2,1,3,2,2,2,2,2,1,1,1,1,1,3,2,1,1,0,2,2,1,2,1,1,0,0,1,0,1,0,0,2,0,1,1,0,1,0,0,1,0,1,0,2,2,0,1,0,1,0,3,1,2,3,2,1,1,1,2,4,2,2,0,0,2,0,1,1,1,1,1,1,1,1,1,1,2,0,1,2,1,2,2,1,2,0,1,1,0,1,2,1,1,1,1,0,1,1,0,0,0,2,1,2,0,1,1,2,2,2,1,0,2,2,1,1,1,0,1,1,1,0,2,1,1,2,1,0,2,1,1,0
20210427,0,1,0,2,1,2,3,2,1,1,2,0,1,1,2,0,1,2,0,1,1,1,1,1,2,1,1,0,0,0,0,0,1,2,1,1,0,1,1,0,0,1,1,2,2,1,0,1,1,2,1,1,2,1,2,0,2,2,1,1,0,3,0,2,1,1,1,2,1,1,1,1,1,1,1,2,2,0,2,1,0,1,0,2,1,2,2,1,0,1,0,1,0,2,1,1,1,1,1,1,0,1,1,1,1,0,1,2,2,1,0,1,0,2,2,1,1,2,0,1,0,1,0,2,2,0,0,0,1,2,0,2,0,1,2,0,0,1,0,1,1,0,2,0,2,0,1,1,2,0,1,1,2,2,2,0,2,2,0,0,1,0,1,1,1,1,1,0,1,2,0,2,2,2,1,1,2,1,0,0,0,1,0,2,1,1,0,2,2,1,1,1,0,1,2,1,1,0,1,2
20210429,2,2,1,2,1,2,0,1,2,2,1,1,2,2,0,2,0,2,2,2,1,2,1,2,0,2,1,0,2,1,1,1,0,0,0,1,0,0,1,1,2,2,2,2,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,2,3,1,1,2,0,0,1,1,0,1,2,1,2,1,0,0,1,2,1,1,0,2,1,1,1,1,2,1,1,0,3,2,1,0,1,0,1,1,1,2,3,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,2,0,1,2,2,1,2,2,2,1,2,2,0,1,0,1,2,1,1,2,2,2,1,1,3,1,2,1,2,1,1,0,1,2,1,0,1,1,0,0,1,2,0,1,2,1,2,1,1,3,0,1,0,3,2,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,3,1,2,2,1,1,1,1,2,0,1,2
20210502,2,1,1,2,2,1,0,1,1,0,0,2,1,2,1,1,0,2,0,2,1,2,1,2,1,0,2,0,0,1,0,1,3,2,2,0,1,3,1,0,1,1,1,2,1,0,2,3,0,1,1,1,2,2,2,1,1,2,0,1,1,0,0,1,2,2,3,1,0,0,3,1,2,1,1,3,0,2,1,0,2,2,1,2,1,1,2,2,1,0,1,1,0,1,2,0,2,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,2,2,1,1,1,2,1,2,1,2,1,1,2,2,2,1,1,0,3,1,0,2,1,1,1,1,1,1,3,0,1,1,1,1,0,2,1,3,1,2,0,1,2,1,1,3,0,3,2,2,3,1,1,2,2,1,1,1,1,0,2,1,2,2,2,2,1,1,0,2,1,1,2,0,2,0,2,0,2,0,3,3,2,2,1,2,1,0
20210504,0,2,2,2,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,2,1,1,0,1,2,2,1,2,0,1,1,0,1,2,1,1,0,2,0,0,1,2,1,0,1,0,1,3,1,2,2,1,0,3,2,2,1,1,0,1,1,3,2,0,1,1,0,3,1,2,1,1,2,3,1,1,2,2,2,1,2,1,3,3,1,2,0,0,1,1,1,0,2,1,2,0,1,1,1,1,0,2,2,2,0,1,1,2,2,3,1,1,2,1,1,2,1,0,1,1,2,1,1,2,1,2,3,1,1,1,1,2,0,0,1,1,0,1,0,0,0,2,2,1,1,1,1,0,1,2,2,1,0,2,1,1,2,0,0,1,0,0,1,1,0,1,1,2,1,0,0,3,2,1,1,1,1,2,0,0,1,1,3,2,1,2,3,2,0,1,0
20210506,2,0,1,3,1,1,2,1,0,2,2,2,1,1,1,1,1,1,2,0,0,1,0,2,1,0,1,1,1,1,0,0,0,0,1,2,2,1,1,2,2,1,1,1,0,1,0,2,2,2,1,0,0,2,1,1,2,2,0,1,0,1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,0,1,1,1,1,3,0,0,0,2,2,0,0,4,0,1,0,1,2,1,2,0,1,1,1,1,2,2,1,0,3,2,2,1,0,0,2,0,1,1,1,1,0,1,0,2,1,1,2,1,1,1,2,1,0,1,1,2,1,0,1,1,1,1,0,1,1,2,1,1,1,2,0,2,1,0,0,2,1,1,1,0,1,0,0,1,1,2,2,2,1,2,2,2,0,2,1,2,2,1,0,1,0,1,2,1,0,2,1,1,3,0,0,1,0,3,0,2,2,0,2,3,0,2
20210509,2,1,0,1,2,2,1,2,2,2,0,0,2,1,2,0,1,0,1,2,0,1,1,0,2,0,1,1,3,3,1,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,1,0,2,2,0,2,0,1,2,1,0,0,0,1,0,1,0,0,1,1,0,1,1,2,0,3,1,2,2,1,1,2,1,1,0,1,0,1,2,3,1,2,0,1,2,1,0,1,1,1,1,0,1,0,2,2,0,2,2,0,0,1,3,1,0,2,0,0,1,1,1,1,1,1,0,0,1,0,2,4,2,1,1,2,1,0,0,0,2,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,0,0,2,0,1,1,1,1,1,3,1,2,0,1,1,1,2,1,0,1,1,1,1,0,1,0,2,0,0,2,1,1,1,1,1,1,1,0,0,2,1,1
20210511,1,2,2,3,2,2,1,2,1,2,1,1,1,3,3,1,1,1,2,1,0,1,0,2,2,0,2,2,0,1,0,0,0,3,3,0,2,2,1,1,2,0,2,1,3,1,3,2,2,1,2,2,1,3,3,1,1,0,1,1,2,0,1,2,3,0,0,0,1,2,0,2,1,2,3,1,0,1,1,1,1,2,2,2,2,0,2,1,1,2,1,0,2,2,2,0,2,1,2,0,0,1,1,2,3,1,2,1,2,2,1,1,1,0,3,2,1,1,1,1,1,2,1,2,3,1,0,0,0,1,0,1,0,2,3,0,3,0,1,1,0,2,1,2,2,1,2,1,3,2,2,0,0,2,3,2,1,2,1,2,1,1,2,2,2,1,0,2,0,0,1,1,1,1,3,0,2,2,2,1,3,1,0,1,3,0,0,0,1,0,3,1,1,1,3,1,1,2,1,1
20210513,1,1,1,3,2,2,2,0,1,2,1,0,2,1,2,2,3,2,1,1,0,2,1,3,2,1,1,1,0,2,0,1,2,1,2,1,2,2,1,2,2,2,2,1,2,1,2,2,1,3,0,1,2,2,2,2,2,2,3,3,1,1,2,1,2,1,1,2,1,1,1,1,3,2,2,2,1,1,1,3,1,1,2,3,2,1,1,1,2,1,1,2,1,2,2,2,1,3,2,2,3,3,2,2,2,2,1,2,0,2,1,1,1,1,2,4,1,3,2,1,2,2,0,1,2,1,2,0,0,2,1,3,0,2,2,2,3,2,2,1,0,1,1,2,2,0,1,0,1,0,1,2,3,1,2,2,0,2,1,2,3,2,3,2,2,0,1,2,1,1,2,0,1,2,2,1,2,1,3,3,3,0,2,0,2,1,1,1,2,2,1,1,2,1,2,1,0,0,1,2
20210516,0,0,2,2,2,1,1,2,2,1,0,2,1,0,2,0,1,0,1,0,0,0,1,2,2,0,2,1,1,0,0,0,2,0,2,3,2,0,1,2,0,1,0,1,2,1,0,0,1,0,0,0,1,1,2,1,1,1,1,0,2,0,2,1,2,1,1,1,0,1,2,0,0,2,2,2,0,1,1,0,0,1,0,2,2,0,0,0,0,0,2,1,1,1,2,2,3,2,1,0,2,2,0,1,2,1,0,1,0,1,0,0,2,1,2,0,1,0,1,0,2,1,0,1,2,1,1,2,1,1,1,0,0,1,2,1,1,0,1,0,2,0,1,2,2,0,0,2,1,0,0,1,0,1,2,1,1,1,0,1,2,0,1,1,1,0,1,0,1,0,0,1,1,2,2,0,2,0,1,1,1,0,2,2,2,1,1,1,1,0,1,0,1,2,2,1,0,1,0,0
20210518,0,2,1,0,1,1,2,0,2,2,3,1,2,0,0,1,1,1,1,0,1,2,0,1,0,1,3,1,1,1,1,2,1,0,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,0,0,0,0,0,0,1,0,1,2,2,1,1,1,1,1,2,1,1,1,0,0,1,1,1,2,1,2,1,2,1,3,1,1,1,0,2,1,2,0,1,1,1,0,1,0,1,2,2,0,2,1,1,1,0,1,1,1,2,1,0,1,1,1,0,3,2,0,1,1,0,1,1,1,2,0,2,2,1,2,1,0,1,1,0,0,4,1,0,1,1,1,1,0,0,2,3,2,2,1,0,0,0,1,1,0,1,2,2,0,2,1,1,0,1,1,2,1,2,1,1,0,0,1,2,1,1,0,1,1,2,0,1,0,1,2,2,2,2,1,1,1,1,1,2,0,1,2,0
20210520,1,1,0,0,1,2,0,0,1,1,1,1,2,2,1,1,2,0,3,1,1,0,1,0,1,0,2,1,3,1,0,2,1,1,1,3,0,1,1,1,0,1,1,0,1,1,2,2,1,3,2,0,1,0,1,1,0,1,0,1,1,2,1,1,1,2,1,1,0,1,2,1,3,1,1,0,0,0,0,2,2,2,0,0,1,0,1,2,0,2,1,1,1,0,0,0,2,2,0,0,3,0,2,1,0,1,0,1,0,1,2,1,2,0,1,2,1,1,3,3,2,3,0,1,1,0,1,0,0,0,1,1,2,1,1,2,2,0,1,1,0,0,2,0,1,1,1,2,0,1,1,2,2,2,1,0,1,0,0,1,1,1,0,0,1,2,0,2,0,2,1,2,2,0,0,0,0,1,0,1,1,2,0,1,1,2,1,2,1,2,0,0,2,1,1,3,0,1,0,0
20210523,3,2,1,2,1,0,1,1,0,0,2,1,2,2,1,0,1,1,1,1,1,0,1,2,1,2,1,1,0,2,1,1,1,2,1,0,0,1,0,2,1,1,2,2,1,2,1,1,0,2,0,1,3,1,1,1,1,0,1,0,1,0,1,2,1,3,0,1,1,1,2,0,2,2,1,2,0,1,1,2,1,2,2,3,1,0,1,0,0,1,2,2,2,3,1,1,1,1,2,2,1,1,3,3,0,2,1,2,1,0,1,1,2,3,1,1,2,1,1,2,2,1,1,2,1,0,1,1,1,1,1,1,1,2,1,1,2,1,0,2,2,0,1,2,1,0,1,2,0,1,1,1,1,3,1,0,1,3,2,1,1,0,1,2,1,2,1,1,3,2,1,2,3,2,0,3,2,0,0,2,1,0,2,3,1,2,2,2,1,1,0,0,1,2,0,1,1,0,3,0
20210525,3,0,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,1,0,2,2,3,2,1,1,0,0,0,0,0,1,2,1,2,1,1,0,0,2,1,0,0,1,1,2,0,0,4,1,1,3,1,1,2,2,2,1,0,1,1,0,1,2,0,1,0,0,0,1,0,0,0,1,1,2,2,1,1,1,2,1,1,1,2,1,0,2,0,1,1,0,0,1,1,2,1,1,1,0,1,0,2,1,3,1,2,2,1,0,0,1,3,0,1,1,2,1,2,1,0,2,1,2,2,0,1,2,0,0,0,1,1,1,1,1,0,0,1,0,1,2,1,2,3,2,0,0,0,0,1,1,2,1,2,3,1,0,2,0,0,1,1,1,1,1,0,2,0,2,2,1,2,1,3,1,1,1,2,1,1,2,1,2,1,1,1,2,2,0,1,0,0,1,1,1,0,1,1,1,0
20210527,2,3,1,2,2,0,1,1,1,0,0,2,1,1,3,1,0,0,1,1,2,1,2,1,2,0,1,3,2,1,2,1,1,1,2,1,1,2,1,3,1,1,2,1,2,1,3,0,0,1,0,2,1,1,2,1,1,2,1,1,1,0,2,2,2,2,1,2,0,1,1,1,1,2,2,1,1,0,0,2,2,0,2,1,2,2,1,2,1,2,2,1,1,0,2,1,2,1,1,0,0,1,2,1,3,2,1,1,1,1,1,2,1,1,3,1,1,2,0,0,1,0,2,2,3,2,0,0,0,2,0,2,1,2,3,0,0,0,1,3,1,1,1,1,3,2,0,1,1,2,1,0,0,1,3,1,2,0,1,1,0,2,0,2,2,1,1,1,2,2,0,1,3,2,2,1,1,2,2,1,2,1,3,2,2,0,1,1,0,0,1,3,1,3,3,1,2,0,0,1
20210530,0,1,1,1,0,1,1,1,0,1,0,0,2,0,0,2,0,0,0,0,1,1,0,1,0,2,1,0,1,2,1,0,1,0,0,1,2,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,2,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,1,0,0,1,2,0,0,1,2,2,2,0,0,1,0,0,0,1,0,1,0,1,2,1,0,1,0,1,2,0,1,1,0,1,2,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,2,1,1,1,0,0,0,0,0,2,0,1,0,2,1,0,0,1,0,1,0,0,2,2,0,1,2,1,0,1,2,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,2
